,time,lon,lat,no2,o3,so2,pm2.5,pm10,co,tmax,tmin,hum,opady,tysk,wind
41733,58,26.75,51.25,1.8925838470458984,65.73729451497395,1.0345652103424072,5.334146499633789,5.894744237263997,167.21849568684897,7.1,-2.91,75.59,0.24,99.56,2.09
41734,59,26.75,51.25,1.3233846028645833,70.70904032389323,0.93023411432902,6.069019953409831,7.621172587076823,170.5239054361979,12.48,-1.1,67.3,0.0,99.71,2.11
41735,60,26.75,51.25,1.1559062798817952,70.26071166992188,0.6509987115859985,9.687424341837565,11.269874572753906,170.654052734375,16.24,-0.06,83.87,1.61,99.26,3.81
41736,61,26.75,51.25,2.0386532147725425,64.35254923502605,1.9813156127929688,13.338887532552084,15.329877217610678,183.07902018229169,18.7,6.86,89.19,3.17,98.83,3.03
41737,62,26.75,51.25,1.6269262631734211,77.23046875,1.2379984855651855,12.456207275390623,14.233570098876951,191.9893595377604,17.48,4.87,82.83,1.74,99.27,1.51
41738,63,26.75,51.25,1.4827260971069336,61.81431070963541,0.916163444519043,8.307889302571615,10.49208132425944,153.79122924804688,19.95,6.67,89.24,5.89,98.48,3.41
41739,64,26.75,51.25,1.5791972478230794,79.58045450846355,1.0371324221293132,3.083969116210937,3.336638768513997,169.5639851888021,9.9,3.26,75.2,0.24,98.92,6.47
41740,65,26.75,51.25,1.8227728207906089,80.2195332845052,1.579573154449463,5.791337966918945,6.905125935872396,162.13145955403647,12.06,2.89,79.16,0.31,99.31,3.71
41741,66,26.75,51.25,1.5118743578592937,87.49971516927083,2.298964500427246,7.596759796142578,8.809214274088541,160.89339192708334,18.97,6.6,71.44,0.16,98.49,4.43
41742,67,26.75,51.25,2.182321866353353,80.59739685058594,2.1189160346984863,4.644783655802409,5.957405090332031,170.5729777018229,13.38,5.94,73.29,1.33,98.75,4.41
41743,68,26.75,51.25,2.6596705118815103,66.14797973632812,1.957362492879232,5.6994978586832685,6.495306015014648,155.1039835611979,15.07,4.78,83.59,1.19,98.72,3.32
41744,69,26.75,51.25,1.8274526596069336,67.51333618164062,1.0860400199890137,4.440526008605957,4.7275950113932295,177.4867146809896,9.13,2.89,83.17,2.07,99.3,4.16
41745,70,26.75,51.25,1.4527700742085774,74.36801656087239,0.979457139968872,4.96664301554362,6.451038360595703,158.52674357096353,14.4,1.1,73.84,0.02,100.23,1.88
41746,71,26.75,51.25,0.901902993520101,80.79002380371094,0.8871304194132487,5.779783884684245,6.310408274332683,156.00800577799478,20.31,4.0,70.56,0.0,100.27,3.22
41747,72,26.75,51.25,0.9499910672505696,80.54244995117188,0.7621950308481852,4.451432863871257,5.425526301066081,149.03125,20.3,5.8,68.53,0.0,100.02,2.92
41748,73,26.75,51.25,0.8044420083363851,73.63488260904948,0.4482368230819702,4.593787829081218,6.513073603312175,147.93048095703125,17.98,8.48,75.09,0.02,99.44,3.87
